Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1430A-1H-1,145-150",1.69,29.3,48.83,13.65,0.67,5.33,0.06,8.07,2.52,2.44,2.74,0.15,58.6,2.31,13.93,109.78,71.58,18.86,36.36,37.6,98.23,125.25,267.81,31.76,152.4,15.18,55.42,0.97,2.51,3.36,8.97,809.52,2.71,0.86,23.48,12.07,8.2,35.41,72.41,7.43,30.04,6.08,1.24,0.85,5.19,4.68,0.92,2.58,0.39,2.53,0.38
"346-U1430A-1H-2,8-10",1.8,31.3,48.72,13.17,0.62,4.85,0.06,8.63,2.61,2.83,2.72,0.13,57.73,2.23,15.55,144.7,73.63,15.29,59.21,63.82,170.41,123.18,290.91,27.42,136.92,14.05,23.18,0.84,2.52,3.34,8.77,766.42,2.49,0.86,24.57,11.46,7.96,36.03,64.93,6.9,27.11,5.29,1.08,0.72,4.55,4.05,0.79,2.23,0.34,2.15,0.33
"346-U1430B-1H-3,5-6",3.06,53.13,48.46,13.05,0.62,5.24,0.05,8.24,2.77,2.97,2.71,0.15,58.06,2.26,15.05,135.35,74.31,14.12,46.64,51.62,110.76,121.71,220.16,28.9,162.68,12.05,5.56,0.13,2.44,1.95,8.33,634.77,2.62,0.85,26.37,10.13,5.83,37.21,66.22,6.93,26.02,5.11,1.09,0.7,4.54,3.92,0.78,2.16,0.34,2.12,0.32
"346-U1430A-2H-1,145-150",5.44,95.02,57.47,15.81,0.65,5.44,0.06,1.16,2.43,3,3.38,0.13,70.32,3,13.42,107.95,86.59,15.29,50.46,49.52,210.47,137.25,128.42,27.79,232.52,47.97,15.86,0.73,2.91,2.23,9.48,838.24,4.3,1.84,31.59,15.06,9.25,49.04,90.08,8.75,34.06,6.6,1.23,0.86,5.41,4.86,0.93,2.65,0.4,2.6,0.4
"346-U1430A-2H-2,5-7",5.52,96.52,51.59,15.47,0.74,5.72,0.05,1.22,2.96,3.83,3.1,0.15,85.07,3.19,14.94,134.02,87.76,15.6,50.08,54.42,147.61,141.19,165.68,27.9,180.47,26.44,13.24,0.24,2.91,2.1,10.11,1004.7,3.39,1.32,34.55,15.35,8.38,38.7,90.32,8.44,32.47,6.6,1.32,0.88,5.37,4.76,0.91,2.54,0.39,2.53,0.38
"346-U1430B-1H-6,5-6",7.56,132.24,51.89,12.53,0.54,5.64,0.03,0.5,2.23,2.62,2.58,0.09,58.05,2.55,14.73,179.33,64.77,27.53,64.02,76.62,103.62,126.49,173.7,25.68,119.58,19.8,3.06,0.14,2.73,2.26,9.87,884.73,3.35,1.31,28.58,12.87,5.86,34.05,79.62,7.93,29.88,5.75,1.18,0.77,4.93,4.28,0.85,2.37,0.38,2.33,0.35
"346-U1430A-2H-4,145-150",9.94,174.01,56.25,16.19,0.63,5.31,0.1,1.84,2,4.56,4.25,0.15,47.08,3.23,10.11,77.76,48.25,9.29,29.26,30.2,118.82,133.63,145.88,31.37,389.88,133.82,8.66,0.47,3.08,1.73,6.58,668.5,7.49,4.45,23.1,16.9,6.03,52.7,104.32,11.13,39.68,7.22,1.17,0.9,5.68,5.03,0.98,2.85,0.43,2.74,0.41
"346-U1430B-2H-3,5-6",11.38,200.97,57.32,15.04,0.74,5.04,0.05,1.17,2.69,3.37,3.2,0.15,62.8,2.79,15.71,128.46,55.39,16.18,43.26,55.68,151.59,126.75,139.48,30.53,249.8,19.37,6.94,0.21,2.91,1.8,9.57,705.46,3.61,1.36,30.54,13.33,8.21,34.25,83.43,8.02,30.36,5.96,1.18,0.82,5.18,4.64,0.91,2.56,0.41,2.53,0.39
"346-U1430A-3H-1,145-150",15.58,321.94,54.77,15.83,0.81,5.54,0.05,1.31,2.8,2.76,3.27,0.12,83.25,3.24,15.21,121.02,103.33,16.42,68.36,54.75,138.14,153.66,163.95,27.92,206.54,30.32,10.72,0.52,3.18,1.84,11.26,743.32,3.79,1.42,30.23,16.35,6.13,40.51,91.79,8.74,33.99,6.78,1.29,0.88,5.4,4.72,0.91,2.53,0.38,2.51,0.38
"346-U1430A-3H-2,11-13",15.66,324.09,51.21,14.62,0.64,5.31,0.05,5.78,2.57,3.12,3.16,0.1,73.15,3.02,13.13,106.73,95.95,12.11,47.89,42.44,202.97,136.32,217.08,25.17,225.54,32.08,8.83,0.14,2.93,1.26,10.38,583.15,3.93,1.68,22.79,14.94,6.27,44.53,85.93,8.39,32.25,6.09,1.11,0.78,4.94,4.34,0.84,2.38,0.35,2.25,0.35
"346-U1430B-2H-6,66-67",16.49,346.38,51.24,13.81,0.55,4.52,0.06,7.25,2.01,3.65,3.14,0.1,63.55,3,12.18,90.64,42.38,8.46,32.08,33.79,93.03,155.54,280.02,28.54,335.55,66.47,4.55,0.15,3.11,1.2,6.82,786.05,5.48,2.75,26.84,12.82,5.63,76.38,83.34,9.64,32.54,6.18,1.09,0.88,5.32,4.81,0.96,2.63,0.42,2.65,0.38
"346-U1430A-3H-4,145-150",20.08,441.06,57.33,15.48,0.78,5.94,0.05,1.15,2.79,2.29,3.24,0.13,63.54,2.78,15.53,120.95,87.55,13.98,56.63,42.83,150.72,147.27,158.31,27.6,181.22,18.82,35.06,1.13,2.87,2.11,10.42,956.47,3.1,1.21,25.59,13.41,9.06,35.1,72.28,7.71,30.7,6.12,1.23,0.79,4.97,4.32,0.84,2.33,0.36,2.38,0.36
"346-U1430B-3H-2,40-41",20.15,442.82,54.17,14.61,0.69,5.58,0.05,1.22,2.74,2.73,3.1,0.12,48.56,2.17,15,115.9,34.37,10.43,44.83,37.59,132.39,107.04,126.35,26.46,187.28,12.17,30.84,0.35,2.34,2.23,8.19,638.08,2.63,0.87,24.2,10.5,8.43,26.72,60.2,6.37,24.54,4.91,1.03,0.67,4.27,3.75,0.74,2.07,0.32,1.97,0.31
"346-U1430A-4H-1,145-150",25.9,584.21,40.18,12.16,0.56,4.14,0.04,16.34,2.14,1.95,2.57,0.1,60.63,2.16,11.87,86.47,74.75,11.66,41.57,32.23,84.28,110.8,464.82,24.11,146.54,20.39,8.42,0.24,2.3,1.78,9.54,569.88,2.82,1.09,19.33,11.7,5.43,32.69,67.83,7.37,26.78,5.37,1.05,0.72,4.64,4.06,0.79,2.12,0.33,2.14,0.31
"346-U1430A-4H-2,8-10",26.01,586.99,36.9,11.29,0.48,3.89,0.04,17.85,1.86,2.34,2.44,0.09,55.15,2.11,10,79.19,51.72,10.48,30.8,29.79,90.13,92.21,492.92,21.4,151.95,23.93,5.51,0.26,2.09,1.51,8.15,499.41,3.08,1.29,18.41,11.06,5.56,29.95,64.44,6.83,25.53,5.05,0.99,0.68,4.28,3.78,0.73,2.05,0.31,1.91,0.29
"346-U1430B-4H-2,20-21",29.98,688.08,41.46,12.47,0.55,4.52,0.05,15.29,2.15,2,2.54,0.11,57.08,2.24,10.65,92.22,67.34,15.6,33.6,34.9,75.21,106.34,414.04,24.63,141.96,18.82,5.78,0.57,2.34,2.22,8.28,768.67,2.78,1.02,23.63,11.14,6.09,32.64,70,7.2,26.48,5.34,1.06,0.73,4.68,4.23,0.84,2.33,0.36,2.32,0.35
