depth_cmJPC56,depth_cmGGC55,age_calkaBP,Al%-s,Fe%-s,Mg%-s,Ca%-s,Na%-s,K%-s,P%-s,Ti%-s,Mn ppm,Be ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,V ppm,Zn ppm,As ppm,Sc ppm,Sr ppm,Ba ppm,Y ppm,Zr ppm,Mo ppm,Cd ppm,La ppm,Pb ppm,Li ppm,carb%-s,toc%
9,2.23,5.36,2.17,1.49,5.42,3.93,1.65,0.1,0.22,207,1.1,52,9,56,39,79,110,17,8.2,382,465,14,69,15,5,18,14,36,10.25,4.34,
20,2.34,5.27,2.25,1.45,4.16,3.51,1.61,0.1,0.22,200,1.1,52,8,51,40,75,108,18,8.1,320,477,14,66,15,4,18,13,35,7.58,4.02,
30,2.45,5.68,2.41,1.5,4.38,3.59,1.74,0.11,0.24,218,1.1,57,9,53,40,88,114,20,8.6,337,491,15,74,15,5,19,14,37,7.42,4.4,
40,2.56,5.73,2.43,1.51,4.9,3.6,1.71,0.11,0.23,216,1.1,50,10,55,38,92,114,28,8.7,359,497,15,73,16,5,20,14,37,8.67,4.37,
50,2.67,4.62,1.89,1.45,4.35,3.92,1.42,0.1,0.19,211,0.9,45,6,43,33,83,92,15,7.1,321,421,12,60,17,4,16,12,30,6.67,3.45,
59,2.77,4.53,1.96,1.32,5.35,3.69,1.37,0.08,0.19,190,0.9,47,7,41,38,79,96,19,7,357,431,12,62,18,2,16,11,29,9.42,3.07,
70,2.89,3.73,1.5,1.34,4.52,4.71,1.24,0.07,0.15,166,0.8,40,5,36,26,85,75,12,5.7,309,406,10,49,20,3,13,11,26,8.33,3.38,
80,2.99,5.5,2.35,1.61,2.1,3.96,1.65,0.09,0.23,232,1.1,50,8,47,40,102,111,16,8.6,229,496,14,73,16,3,18,15,37,2.33,4.18,
90,3.1,4.93,1.96,1.5,1.94,4.28,1.52,0.1,0.2,210,1,45,7,44,35,95,98,14,7.5,213,467,13,64,18,3,17,13,33,1.83,3.83,
100,3.21,4.93,2.05,1.52,3.68,3.95,1.5,0.09,0.2,218,1,46,7,42,33,91,95,15,7.6,286,444,13,64,17,3,17,12,33,6.25,3.35,
110,3.32,4.32,1.74,1.36,5.09,4.19,1.35,0.1,0.17,197,0.8,43,6,40,32,85,85,12,6.5,347,428,11,53,18,3,14,11,28,8.42,3.4,
120,3.43,3.5,1.4,1.29,3.26,4.84,1.14,0.09,0.15,141,0.7,35,5,31,24,85,68,11,5.4,245,330,9,46,19,2,12,9,23,5.92,2.54,
130,3.53,4.2,1.71,1.27,5.31,3.46,1.31,0.07,0.17,179,0.8,40,6,35,28,84,79,11,6.5,356,395,10,53,13,2,14,11,29,11,2.91,
140,3.64,5.78,2.27,1.52,7.29,3.37,1.76,0.1,0.23,261,1.1,54,9,51,40,97,109,16,8.6,472,528,14,74,14,4,19,15,40,14.5,4.13,
150,3.75,5.6,2.19,1.49,7,3.43,1.69,0.1,0.23,228,1.2,53,9,49,39,105,110,19,8.7,461,495,15,72,16,5,19,15,38,13.67,4,
160,3.86,4.72,1.86,1.3,5.79,3.41,1.42,0.08,0.19,210,0.9,43,7,41,31,81,92,15,7,386,409,12,59,15,3,15,12,30,12.17,3.18,
170,3.97,4.17,1.79,1.31,6.23,3.94,1.33,0.34,0.17,184,0.8,42,6,39,30,76,91,10,6.3,422,455,11,52,16,3,14,11,28,11.33,3.58,
180,4.08,4.43,1.8,1.33,5.94,3.81,1.39,0.08,0.19,194,0.9,42,6,38,32,87,88,10,6.8,400,687,11,58,16,2,15,11,30,11.5,3.03,
190,4.18,4.4,1.71,1.36,7.02,4,1.39,0.09,0.18,185,0.9,44,6,42,31,89,86,9,6.7,477,1240,11,57,16,3,15,12,29,14.42,3.34,
200,4.29,5.5,2.07,1.5,7.01,3.48,1.69,0.1,0.23,227,1.1,56,8,49,40,111,107,14,8.3,478,731,14,74,14,3,19,14,38,14.42,3.93,
209,4.39,6.32,2.46,1.63,7.83,3.32,1.9,0.11,0.26,252,1.2,61,9,54,43,139,122,21,9.7,521,829,16,81,14,5,21,16,43,15.08,4,
220,4.51,4.8,1.91,1.38,4.28,3.82,1.45,0.08,0.19,181,0.9,45,7,42,35,102,99,15,7.2,311,444,12,62,16,2,15,13,31,10.17,2.96,
9,229,4.61,4.68,2.09,1.52,4.34,4.21,1.47,0.1,0.21,196,1.4,48,7,42,45,81,722,12,6.9,316,459,12.3,68.5,14,1,14.9,13,35,7.75,4.12
20,240,4.72,4.85,2.25,1.4,4.23,3.89,1.45,0.09,0.2,204,1,52,8,44,41,99,374,21,7.5,314,432,13,63,13,4,16,13,31,8.42,4.4
30,250,4.83,5.21,2.16,1.5,4.62,4.06,1.56,0.1,0.21,201,1,50,9,48,38,81,124,19,8,340,469,14,66,14,2,17,13,33,8.42,4.27
39,259,4.93,5.59,2.51,1.65,4.49,3.7,1.67,0.11,0.25,219,1.6,55,9,51,38,96,162,21,8.3,330,460,16.1,82.4,15,2,18.5,11,41,8.17,4.6
49,269,5.04,4.71,1.97,1.46,3.39,4.49,1.47,0.09,0.2,198,1,45,7,42,33,92,118,16,7.1,271,421,12,62,18,3,16,12,31,5.33,3.68
