year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation,delta_anomaly,delta_co2_ppm,delta_co2_radiative_forcing,delta_eccentricity,delta_obliquity,delta_perihelion,delta_insolation,delta_global_insolation,delta_be_ppm,delta_VADM,delta_solar_modulation,perihelion_lagged_20,perihelion_lagged_50,eccentricity_lagged_20,eccentricity_lagged_50,obliquity_lagged_20,obliquity_lagged_50,insolation_lagged_20,insolation_lagged_50,co2_ppm_squared,co2_radiative_forcing_squared,eccentricity_squared,obliquity_squared,perihelion_squared,insolation_squared,global_insolation_squared,be_ppm_squared,VADM_squared,solar_modulation_squared,delta_anomaly_squared,delta_co2_ppm_squared,delta_co2_radiative_forcing_squared,delta_eccentricity_squared,delta_obliquity_squared,delta_perihelion_squared,delta_insolation_squared,delta_global_insolation_squared,delta_be_ppm_squared,delta_VADM_squared,delta_solar_modulation_squared
-800000,-3.135,-0.777,-0.79,-1.021,-0.21,0.111,-0.05,-0.901,1.904,-0.811,1.975,0.0,-0.042,-0.033,-0.041,-0.001,-0.001,-0.006,-0.054,0.003,0.014,0.004,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.604,0.625,1.043,0.044,0.012,0.002,0.812,3.627,0.658,3.903,0.0,0.002,0.001,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.0
-798000,-3.889,-0.851,-0.874,-0.696,0.022,-1.037,-0.751,-0.758,1.861,-1.778,1.95,-0.754,-0.244,-0.273,3.48,0.75,-1.259,-1.345,1.563,-0.064,-3.111,0.001,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.724,0.764,0.485,0.0,1.075,0.565,0.575,3.462,3.16,3.831,0.569,0.06,0.075,12.108,0.563,1.585,1.81,2.443,0.004,9.676,0.0
-796000,-4.182,-0.665,-0.667,-0.696,0.37,-0.641,-0.521,-0.724,1.817,-1.902,1.925,-0.966,-0.252,-0.274,-0.041,1.126,0.433,0.435,0.327,-0.064,-2.573,-0.002,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.511,0.531,0.485,0.137,0.41,0.271,0.525,3.305,3.647,3.76,1.248,0.064,0.075,0.002,1.268,0.188,0.189,0.107,0.004,8.645,0.001
-794000,-4.476,-0.48,-0.46,-0.615,0.601,-0.249,-0.056,-0.682,1.773,-2.026,1.9,-1.178,-0.26,-0.274,0.839,0.75,0.429,0.881,0.422,-0.064,-2.035,-0.006,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.299,0.297,0.378,0.362,0.062,0.003,0.466,3.147,4.133,3.689,1.927,0.068,0.075,0.704,0.563,0.184,0.777,0.178,0.004,7.613,0.001
-792000,-4.769,-0.294,-0.253,-0.534,0.833,0.14,0.568,-0.649,1.729,-2.149,1.875,-1.39,-0.268,-0.275,0.839,0.75,0.425,1.187,0.327,-0.064,-1.497,-0.009,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.087,0.064,0.285,0.694,0.02,0.323,0.421,2.99,4.62,3.617,2.606,0.073,0.076,0.704,0.563,0.18,1.41,0.107,0.004,6.581,0.002
-790000,-4.539,0.045,0.098,-0.534,1.065,0.525,1.131,-0.615,1.685,-2.248,1.85,-1.602,-0.276,-0.276,-0.041,0.75,0.421,1.068,0.327,-0.064,-0.959,-0.012,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.117,0.133,0.285,1.134,0.275,1.278,0.378,2.842,5.063,3.546,3.286,0.077,0.076,0.002,0.563,0.177,1.141,0.107,0.004,5.549,0.002
-788000,-4.309,0.385,0.449,-0.452,1.065,0.907,1.366,-0.598,1.641,-2.346,1.825,-1.814,-0.283,-0.276,0.839,-0.001,0.418,0.444,0.136,-0.064,-0.421,-0.015,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.148,0.202,0.205,1.134,0.823,1.866,0.358,2.694,5.506,3.475,3.965,0.081,0.076,0.704,0.0,0.175,0.197,0.019,0.004,4.517,0.003
-786000,-3.559,0.889,0.925,-0.452,1.065,1.29,1.275,-0.573,1.598,-2.432,1.8,-2.026,-0.291,-0.277,-0.041,-0.001,0.419,-0.18,0.232,-0.064,0.117,-0.018,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,1.044,1.081,0.205,1.134,1.663,1.625,0.328,2.554,5.922,3.403,4.644,0.086,0.077,0.002,0.0,0.175,0.032,0.054,0.004,3.485,0.003
-784000,-2.809,1.393,1.4,-0.452,0.949,1.672,0.777,-0.564,1.554,-2.517,1.775,-2.238,-0.299,-0.277,-0.041,-0.377,0.418,-0.957,0.041,-0.065,0.654,-0.022,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,1.94,1.959,0.205,0.901,2.795,0.603,0.318,2.414,6.337,3.332,5.323,0.09,0.077,0.002,0.142,0.175,0.915,0.002,0.004,2.454,0.004
-782000,-5.259,1.296,1.314,-0.452,0.717,-1.799,0.132,-0.556,1.51,-2.153,1.75,-2.45,-0.307,-0.278,-0.041,-0.753,-3.806,-1.236,0.041,-0.065,1.192,-0.025,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,1.681,1.727,0.205,0.515,3.237,0.017,0.309,2.279,4.636,3.261,6.003,0.094,0.077,0.002,0.566,14.485,1.528,0.002,0.004,1.422,0.004
