year_bin,anomaly,eccentricity,obliquity,perihelion,insolation,global_insolation,delta_eccentricity,delta_obliquity,delta_perihelion,delta_insolation,delta_global_insolation,perihelion_lagged_20,perihelion_lagged_50,eccentricity_lagged_20,eccentricity_lagged_50,obliquity_lagged_20,obliquity_lagged_50,insolation_lagged_20,insolation_lagged_50
-740000,-3.559,-1.184,1.297,-0.233,0.404,-0.977,0.839,-0.377,0.485,0.343,0.517,-1.415,0.111,-0.452,-1.021,0.486,-0.21,-0.45,-0.05
-738000,-4.006,-1.021,1.181,0.193,0.687,-0.918,1.719,-0.377,0.466,0.536,0.612,-1.029,0.111,-0.452,-1.021,0.254,-0.21,-0.819,-0.05
-736000,-4.452,-0.859,0.833,0.605,0.924,-0.842,1.719,-1.128,0.451,0.446,0.802,-0.643,0.111,-0.452,-1.021,-0.094,-0.21,-0.801,-0.05
-734000,-4.899,-0.696,0.486,1.008,0.969,-0.75,1.719,-1.128,0.44,0.081,0.992,-0.255,0.111,-0.452,-1.021,-0.442,-0.21,-0.538,-0.05
-732000,-4.802,-0.534,0.022,1.404,0.62,-0.657,1.719,-1.504,0.434,-0.673,0.992,0.136,0.111,-0.534,-1.021,-0.674,-0.21,-0.129,-0.05
-730000,-4.704,-0.371,-0.326,1.798,0.006,-0.556,1.719,-1.128,0.43,-1.177,1.087,0.529,0.111,-0.615,-1.021,-0.905,-0.21,0.211,-0.05
-728000,-4.607,-0.29,-0.789,-1.667,-0.762,-0.438,0.839,-1.504,-3.799,-1.473,1.278,0.927,0.111,-0.696,-1.021,-1.021,-0.21,0.27,-0.05
-726000,-4.509,-0.128,-1.137,-1.28,-1.432,-0.32,1.719,-1.128,0.423,-1.284,1.278,1.326,0.111,-0.777,-1.021,-1.137,-0.21,0.093,-0.05
-724000,-4.412,0.035,-1.369,-0.896,-1.684,-0.202,1.719,-0.753,0.421,-0.488,1.278,0.449,0.111,-0.859,-1.021,-1.021,-0.21,-0.295,-0.05
-722000,-4.314,0.116,-1.485,-0.512,-1.536,-0.076,0.839,-0.377,0.419,0.279,1.373,-1.709,0.111,-0.94,-1.021,-1.021,-0.21,-0.673,-0.05
-720000,-4.217,0.279,-1.369,-0.132,-0.884,0.042,1.719,0.375,0.416,1.239,1.278,-1.29,0.111,-1.021,-1.021,-0.789,-0.21,-0.833,-0.05
-718000,-4.119,0.36,-1.253,0.246,-0.035,0.152,0.839,0.375,0.414,1.615,1.183,-0.861,0.111,-1.184,-1.021,-0.558,-0.21,-0.758,-0.05
-716000,-4.021,0.441,-0.905,0.623,0.733,0.261,0.839,1.126,0.412,1.462,1.183,-0.417,0.111,-1.265,-1.021,-0.21,-0.21,-0.399,-0.05
-714000,-3.924,0.604,-0.558,0.997,1.198,0.371,1.719,1.126,0.408,0.882,1.183,0.045,0.111,-1.346,-1.021,0.022,-0.21,0.054,-0.05
-712000,-4.179,0.685,-0.21,1.366,1.076,0.472,0.839,1.126,0.404,-0.238,1.087,0.541,0.111,-1.427,-1.021,0.37,-0.21,0.429,-0.05
-710000,-4.152,0.766,0.254,1.732,0.575,0.573,0.839,1.502,0.4,-0.962,1.087,1.072,0.111,-1.508,-1.021,0.717,-0.21,0.633,-0.05
-708000,-4.552,0.847,0.601,-0.474,-0.18,0.666,0.839,1.126,-2.419,-1.447,0.992,1.63,0.111,-1.508,-1.021,1.065,-0.21,0.582,-0.05
-706000,-4.382,0.847,0.949,-1.397,-0.858,0.75,-0.041,1.126,-1.014,-1.3,0.897,-1.669,0.111,-1.508,-1.021,1.297,-0.21,0.412,-0.05
-704000,-4.11,0.928,1.181,-1.04,-1.123,0.817,0.839,0.75,0.39,-0.512,0.707,-1.156,0.111,-1.427,-1.021,1.413,-0.21,0.256,-0.05
-702000,-3.81,1.01,1.297,-0.684,-0.977,0.885,0.839,0.375,0.39,0.273,0.707,-0.677,0.111,-1.265,-1.021,1.413,-0.21,0.221,-0.05
-700000,-3.487,1.01,1.297,-0.329,-0.3,0.935,-0.041,-0.001,0.388,1.287,0.517,-0.233,0.111,-1.184,-1.021,1.297,-0.21,0.404,-0.05
-698000,-3.389,1.091,1.181,0.027,0.607,0.977,0.839,-0.377,0.389,1.726,0.422,0.193,-1.037,-1.021,-0.696,1.181,0.022,0.687,-0.751
-696000,-3.353,1.091,0.949,0.382,1.466,1.003,-0.041,-0.753,0.388,1.635,0.232,0.605,-0.641,-0.859,-0.696,0.833,0.37,0.924,-0.521
-694000,-3.379,1.091,0.717,0.738,2.022,1.02,-0.041,-0.753,0.389,1.056,0.136,1.008,-0.249,-0.696,-0.615,0.486,0.601,0.969,-0.056
