anomaly,year_bin,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
-3.83872,-1300000,203.09875,-0.61875,0.04893,0.40912,3.54593,498.66326,342.36771,3.46,1.03786,0.47555
-4.92138,-1250000,203.09875,-0.61875,0.04893,0.40912,3.54593,498.66326,342.36771,3.46,1.03786,0.47555
-5.9641,-1200000,203.09875,-0.61875,0.04893,0.40912,3.54593,498.66326,342.36771,3.46,1.03786,0.47555
-3.71158,-1150000,203.09875,-0.61875,0.04893,0.40912,3.54593,498.66326,342.36771,3.367,1.03786,0.47267
-4.51761,-1100000,203.09875,-0.61875,0.04893,0.40912,3.54593,498.66326,342.36771,3.274,1.03786,0.46963
-4.97705,-1050000,203.09875,-0.61875,0.04893,0.40912,3.54593,498.66326,342.36771,3.181,1.03786,0.46644
-5.0124,-1000000,203.09875,-0.61875,0.04893,0.40912,3.54593,498.66326,342.36771,3.088,1.03786,0.46307
-3.29955,-950000,203.09875,-0.61875,0.04673,0.40602,2.89964,486.47672,342.34196,2.995,1.03786,0.45951
-3.51172,-900000,203.09875,-0.61875,0.02151,0.40728,3.23881,490.10981,342.04436,2.81,1.03786,0.45181
-4.35072,-850000,203.09875,-0.61875,0.03066,0.40842,3.15156,492.35647,342.12144,7.08,1.03786,0.53152
-3.13538,-800000,203.09875,-0.61875,0.01342,0.40505,3.32795,489.41422,341.98108,6.98642,1.03786,0.53077
-3.88872,-798000,201.14938,-0.67034,0.0167,0.40685,1.45697,474.13551,341.99769,6.89283,1.03786,0.53
,-796000,,,0.01749,0.40958,2.10287,479.15779,342.00235,,,
,-794000,,,0.01821,0.41214,2.74186,489.26772,342.0067,,,
-4.76872,-792000,215.875,-0.29236,0.01886,0.41417,3.37501,502.86954,342.01086,6.61208,1.03786,0.52757
,-790000,,,0.01944,0.41564,4.00255,515.11293,342.01465,,,
-4.30872,-788000,233.83667,0.13523,0.01984,0.4162,4.62607,520.23331,342.0173,6.42491,1.03786,0.52584
,-786000,,,0.02019,0.41606,5.24955,518.24751,342.0197,,,
-2.80872,-784000,260.5225,0.71339,0.02035,0.41501,5.87342,507.40441,342.02082,6.23774,1.03786,0.52401
-5.25872,-782000,257.97,0.66071,0.02048,0.41339,0.21432,493.37391,342.02175,6.14415,1.03786,0.52305
,-780000,,,0.02044,0.41118,0.84129,480.70393,342.02147,,,
,-778000,,,0.02029,0.40868,1.47015,472.6739,342.0204,,,
,-776000,,,0.02003,0.40602,2.09924,473.06893,342.01864,,,
,-774000,,,0.01961,0.40342,2.73131,478.7792,342.01576,,,
,-772000,,,0.019,0.40113,3.36894,487.69689,342.01173,,,
,-770000,,,0.01824,0.39923,4.01029,495.09142,342.00692,,,
-2.17872,-768000,226.04667,-0.04603,0.01734,0.39803,4.65787,496.37957,342.00145,5.48906,1.03786,0.51551
-4.76872,-766000,224.34,-0.08658,0.01634,0.39738,5.30923,492.5216,341.99567,5.39547,1.03786,0.51429
,-764000,,,0.01514,0.39757,3.87965,484.07844,341.98926,,,
-4.27872,-762000,219.28,-0.20863,0.01395,0.39835,0.36059,475.85536,341.98326,5.2083,1.03786,0.51172
-1.82872,-760000,215.665,-0.29756,0.01264,0.39992,1.04543,472.35218,341.97735,5.11472,1.03786,0.51038
,-758000,,,0.0113,0.40199,1.7428,473.99371,341.97184,,,
,-756000,,,0.00999,0.40462,2.46669,481.81054,341.96713,,,
-1.45872,-754000,204.975,-0.56955,0.00874,0.40749,3.22078,491.66634,341.96305,4.83396,1.03786,0.50604
